,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
88,0.5522,0.956,0.0047,0.01,0.20425,1.0
89,0.5222,0.9551499999999999,0.0012,0.01,0.2268,1.0
90,0.5437,0.96185,0.0205,0.0,0.18715,1.0
91,0.5234,0.9627,0.0008,0.0,0.23775,1.0
92,0.48564999999999997,0.96575,0.0,0.0195,0.16635,1.0
93,0.5089,0.96745,0.0101,0.0,0.17015,1.0
94,0.4861,0.9686,0.0,0.02,0.21415,1.0
95,0.5383,0.97105,0.0,0.0,0.16485,1.0
96,0.5617,0.0873,0.7867,0.9801,0.9779,0.0
97,0.4777,0.0273,0.66625,0.9798,0.82415,0.0
98,0.4617,0.1324,0.5687,0.9764,0.7194999999999999,0.0
99,0.4464,0.3398,0.52655,0.8781,0.629,0.0003
100,0.5115,0.64585,0.42474999999999996,0.1865,0.4863,1.0
101,0.52715,0.7394999999999999,0.46249999999999997,0.1261,0.39905,1.0
102,0.5036,0.79885,0.4173,0.136,0.3587,1.0
103,0.48095,0.8401,0.3777,0.0498,0.35355,1.0
104,0.4649,0.8563,0.39805,0.0582,0.30779999999999996,1.0
105,0.466,0.88505,0.3564,0.0328,0.31315,1.0
106,0.4239,0.8714999999999999,0.38939999999999997,0.0122,0.30674999999999997,1.0
107,0.4416,0.9047999999999999,0.33940000000000003,0.0084,0.31455,1.0
108,0.4517,0.9203,0.1136,0.0121,0.27114999999999995,1.0
109,0.423,0.9079499999999999,0.0948,0.0012,0.2908,1.0
110,0.469,0.91855,0.0402,0.0107,0.23979999999999999,1.0
111,0.4753,0.91885,0.0253,0.0,0.24359999999999998,1.0
112,0.4999,0.9289,0.0061,0.0133,0.28669999999999995,1.0
113,0.4672,0.9250999999999999,0.002,0.01,0.3069,1.0
114,0.4878,0.93695,0.0209,0.0014,0.256,1.0
115,0.46555,0.93255,0.0018,0.0,0.30435,1.0
116,0.4272,0.94155,0.0004,0.0198,0.246,1.0
117,0.4605,0.94525,0.0106,0.0,0.2489,1.0
118,0.4316,0.9427,0.0001,0.02,0.28719999999999996,1.0
119,0.48485,0.9498500000000001,0.0002,0.0,0.24195,1.0
120,0.55975,0.07684999999999999,0.834,0.9901,0.95545,0.0
121,0.4766,0.0138,0.7295,0.99,0.8164499999999999,0.0
122,0.45775,0.0877,0.6393,0.9901,0.7182,0.0
123,0.4343,0.22985,0.6024999999999999,0.9753,0.6352,0.0
124,0.4885,0.35415,0.5752499999999999,0.8135,0.5137,0.0
125,0.5134,0.62115,0.5365,0.3876,0.4214,0.9986
126,0.48675,0.7041499999999999,0.49135,0.3498,0.37755,1.0
127,0.4698,0.7639999999999999,0.4552,0.192,0.37770000000000004,1.0
128,0.4532,0.7891499999999999,0.47025,0.1233,0.33935,1.0
129,0.4569,0.8343499999999999,0.4277,0.081,0.33735,1.0
130,0.4135,0.8176,0.46275,0.0502,0.32885,1.0
131,0.4281,0.8709,0.41195,0.0235,0.32975,1.0
132,0.4459,0.89225,0.1493,0.0448,0.2937,1.0
133,0.4121,0.8757499999999999,0.1198,0.0073,0.3126,1.0
134,0.4603,0.89235,0.05,0.02,0.26175,1.0
135,0.458,0.8946999999999999,0.0295,0.0098,0.26234999999999997,1.0
136,0.4817,0.9073,0.0101,0.0269,0.3047,1.0
137,0.4527,0.9049999999999999,0.0029,0.0154,0.32585,1.0
138,0.4691,0.92035,0.0219,0.0092,0.27875,1.0
139,0.4544,0.9160499999999999,0.0027,0.0021,0.31825,1.0
140,0.4206,0.9282,0.0012,0.0215,0.2708,1.0
141,0.4418,0.92865,0.0114,0.0,0.27015,1.0
142,0.42225,0.9290999999999999,0.0003,0.02,0.30495,1.0
143,0.4667,0.9341999999999999,0.0006,0.0,0.26605,1.0
144,0.55785,0.0732,0.83305,1.0,0.9491499999999999,0.0
145,0.4583,0.0092,0.7168,1.0,0.88205,0.0
146,0.43635,0.06555,0.61295,1.0,0.79955,0.0
147,0.41775,0.16935,0.57235,0.9881,0.72435,0.0
148,0.47285,0.2605,0.5375,0.8739,0.60095,0.0
149,0.4866,0.37885,0.46349999999999997,0.6124,0.5786,0.0014
